,No._x,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price_x,Change_x,Volume_x,No._y,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price_y,Change_y,Volume_y
0,1,ASC,Ardmore Shipping Corporation,Energy,Oil & Gas Midstream,Bermuda,123.02M,-,3.63,7.08%,459431,1,2.25%,-13.98%,-7.40%,13.44%,-14.99%,11.01%,6.03%,5.60%,2.30,421.19K,1.09,3.63,7.08%,459431
1,2,BGSF,"BGSF, Inc.",Industrials,Staffing & Employment Services,USA,127.34M,210.33,12.62,-0.47%,22919,2,4.90%,2.27%,-9.92%,0.00%,33.83%,-6.45%,5.14%,4.23%,-,80.98K,0.28,12.62,-0.47%,22919
2,3,BWEN,"Broadwind, Inc.",Industrials,Specialty Industrial Machinery,USA,72.69M,-,3.80,-3.06%,86058,3,-5.00%,-16.11%,-26.50%,-56.87%,-25.34%,-52.08%,5.27%,5.77%,2.20,306.64K,0.28,3.80,-3.06%,86058
3,4,CECE,CECO Environmental Corp.,Industrials,Pollution & Treatment Controls,USA,248.58M,41.90,7.04,-0.28%,38806,4,0.14%,-1.68%,-3.56%,1.59%,0.43%,1.15%,2.65%,3.42%,2.00,100.16K,0.39,7.04,-0.28%,38806
4,5,CMLS,Cumulus Media Inc.,Communication Services,Broadcasting,USA,239.34M,-,11.79,1.64%,15490,5,-7.02%,-19.52%,22.68%,35.83%,200.00%,35.21%,4.65%,4.87%,2.30,79.56K,0.19,11.79,1.64%,15490
5,6,CRWS,"Crown Crafts, Inc.",Consumer Cyclical,Apparel Manufacturing,USA,73.57M,12.28,7.32,-1.35%,8965,6,-1.94%,-1.48%,-4.94%,-3.81%,58.49%,1.67%,2.08%,1.75%,3.00,20.59K,0.44,7.32,-1.35%,8965
6,7,CTG,"Computer Task Group, Incorporated",Technology,Information Technology Services,USA,137.04M,16.20,8.91,-0.89%,30239,7,-2.73%,-7.86%,-10.00%,36.66%,85.24%,45.59%,4.35%,2.64%,1.00,41.71K,0.73,8.91,-0.89%,30239
7,8,CULP,"Culp, Inc.",Consumer Cyclical,Textile Manufacturing,USA,184.28M,-,14.97,0.54%,37405,8,1.35%,-8.16%,5.80%,-2.98%,35.72%,-5.67%,2.21%,3.71%,2.00,24.41K,1.53,14.97,0.54%,37405
8,9,CWCO,Consolidated Water Co. Ltd.,Utilities,Utilities - Regulated Water,Cayman Islands,188.55M,28.88,12.68,0.88%,51693,9,3.09%,8.10%,7.73%,0.08%,2.09%,5.23%,2.04%,2.28%,2.50,130.69K,0.40,12.68,0.88%,51693
9,10,DAKT,"Daktronics, Inc.",Technology,Computer Hardware,USA,277.15M,25.04,6.11,-0.81%,63852,10,0.83%,-7.28%,-0.97%,27.29%,49.02%,30.56%,2.46%,2.95%,3.00,144.76K,0.44,6.11,-0.81%,63852
10,11,DLHC,DLH Holdings Corp.,Industrials,Specialty Business Services,USA,134.70M,18.31,10.75,2.28%,6098,11,-0.65%,-7.96%,5.50%,3.76%,0.47%,15.34%,3.42%,3.46%,2.00,15.19K,0.40,10.75,2.28%,6098
11,12,ELMD,"Electromed, Inc.",Healthcare,Medical Devices,USA,100.14M,32.16,11.74,1.47%,8573,12,-2.17%,3.99%,20.16%,18.11%,-33.26%,19.67%,2.72%,3.16%,1.50,73.20K,0.12,11.74,1.47%,8573
12,13,FLL,"Full House Resorts, Inc.",Consumer Cyclical,Resorts & Casinos,USA,290.53M,344.58,8.27,-3.39%,194285,13,3.50%,-16.80%,-15.27%,45.09%,474.31%,110.43%,4.47%,5.73%,2.00,447.34K,0.43,8.27,-3.39%,194285
13,14,FLNT,"Fluent, Inc.",Communication Services,Advertising Agencies,USA,193.27M,-,2.49,-1.97%,133241,14,-4.60%,-15.02%,-33.06%,-54.06%,34.59%,-53.11%,5.44%,5.04%,2.00,411.38K,0.32,2.49,-1.97%,133241
14,15,FSTR,L.B. Foster Company,Industrials,Railroads,USA,192.86M,7.86,18.16,0.28%,24671,15,1.28%,-2.58%,12.52%,19.87%,27.89%,20.66%,3.04%,2.88%,1.50,87.20K,0.28,18.16,0.28%,24671
15,16,FVE,Five Star Senior Living Inc.,Healthcare,Medical Care Facilities,USA,177.33M,13.85,5.68,-0.70%,35095,16,1.61%,-1.39%,9.02%,-21.44%,26.50%,-17.68%,2.85%,3.65%,2.00,189.21K,0.19,5.68,-0.70%,35095
16,17,GASS,StealthGas Inc.,Energy,Oil & Gas Midstream,Greece,98.05M,10.08,2.56,1.19%,92037,17,-1.16%,-8.90%,-8.57%,-3.40%,4.92%,8.94%,3.69%,4.25%,1.00,114.19K,0.81,2.56,1.19%,92037
17,18,GEG,"Great Elm Group, Inc.",Healthcare,Medical Distribution,USA,62.21M,-,2.31,-1.70%,24204,18,-7.97%,2.67%,-13.16%,-17.79%,-3.58%,-19.79%,6.48%,6.58%,3.00,56.55K,0.43,2.31,-1.70%,24204
18,19,GHM,Graham Corporation,Industrials,Specialty Industrial Machinery,USA,144.57M,58.01,13.69,-0.15%,10854,19,-1.30%,-0.51%,-0.15%,-7.25%,7.97%,-9.82%,2.51%,2.75%,2.00,69.55K,0.16,13.69,-0.15%,10854
19,20,GNSS,Genasys Inc.,Technology,Scientific & Technical Instruments,USA,197.57M,18.36,5.60,1.82%,76700,20,-3.45%,2.19%,-10.40%,-24.73%,30.23%,-14.11%,5.34%,4.00%,1.70,265.94K,0.29,5.60,1.82%,76700
20,21,GTEC,Greenland Technologies Holding Corporation,Industrials,Specialty Industrial Machinery,China,74.65M,7.56,6.43,0.94%,52222,21,-4.88%,-17.98%,-21.78%,-13.69%,135.52%,-11.19%,9.75%,5.24%,1.00,104.40K,0.50,6.43,0.94%,52222
21,22,HDSN,"Hudson Technologies, Inc.",Basic Materials,Specialty Chemicals,USA,145.42M,-,3.46,-0.86%,272883,22,-2.54%,1.76%,67.96%,152.55%,217.43%,217.43%,9.66%,7.54%,2.50,584.84K,0.47,3.46,-0.86%,272883
22,23,HROW,"Harrow Health, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,223.89M,24.64,8.92,-4.19%,162390,23,7.99%,-3.98%,16.30%,-0.89%,59.29%,30.03%,5.69%,6.07%,2.00,332.74K,0.49,8.92,-4.19%,162390
23,24,III,"Information Services Group, Inc.",Technology,Information Technology Services,USA,283.75M,40.61,5.97,-0.17%,174781,24,-0.17%,2.05%,31.21%,69.12%,182.94%,82.01%,2.58%,3.40%,1.50,454.30K,0.38,5.97,-0.17%,174781
24,25,IMMR,Immersion Corporation,Technology,Software - Application,USA,238.82M,17.42,7.56,-2.45%,424692,25,0.80%,-13.80%,-11.79%,-40.24%,12.17%,-33.04%,4.68%,4.36%,1.50,643.29K,0.66,7.56,-2.45%,424692
