,No._x,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price_x,Change_x,Volume_x,No._y,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price_y,Change_y,Volume_y
0,1,AGCO,AGCO Corporation,Industrials,Farm & Heavy Construction Machinery,USA,9.83B,19.47,132.11,3.91%,744537,1,5.32%,1.33%,-7.09%,22.25%,99.61%,31.51%,3.13%,2.75%,2.00,694.16K,1.07,132.11,3.91%,744537
1,2,SMG,The Scotts Miracle-Gro Company,Basic Materials,Agricultural Inputs,USA,9.81B,18.59,176.96,-1.05%,445717,2,-3.06%,-7.79%,-23.45%,-20.08%,15.85%,-11.14%,1.88%,2.14%,2.00,414.61K,1.08,176.96,-1.05%,445717
2,3,DLB,"Dolby Laboratories, Inc.",Communication Services,Entertainment,USA,9.74B,32.92,97.10,1.40%,474556,3,-0.84%,-1.21%,-4.31%,10.30%,40.70%,-0.03%,2.32%,1.99%,1.80,386.43K,1.23,97.10,1.40%,474556
3,4,LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,Packaged Foods,USA,9.65B,39.18,66.77,-0.71%,918083,4,-11.56%,-17.22%,-17.06%,-10.62%,12.56%,-15.20%,4.40%,2.56%,1.70,943.45K,0.97,66.77,-0.71%,918083
4,5,NI,NiSource Inc.,Utilities,Utilities - Regulated Gas,USA,9.59B,68.24,24.77,-1.71%,10152278,5,-1.75%,1.10%,-4.80%,11.83%,1.14%,7.98%,1.82%,1.82%,1.90,3.30M,3.07,24.77,-1.71%,10152278
5,6,UGI,UGI Corporation,Utilities,Utilities - Regulated Gas,USA,9.44B,11.17,45.99,-0.82%,2209451,6,-0.35%,-0.69%,5.22%,27.79%,37.04%,31.55%,1.41%,1.80%,1.70,1.01M,2.20,45.99,-0.82%,2209451
6,7,PNW,Pinnacle West Capital Corporation,Utilities,Utilities - Regulated Electric,USA,9.27B,18.67,83.55,-2.17%,755557,7,-1.18%,1.93%,-1.30%,11.03%,1.03%,4.50%,1.84%,1.79%,2.70,862.72K,0.88,83.55,-2.17%,755557
7,8,ST,Sensata Technologies Holding plc,Technology,Scientific & Technical Instruments,USA,9.21B,44.41,58.62,0.88%,1089589,8,6.81%,1.12%,1.52%,7.56%,51.12%,11.15%,3.42%,2.50%,2.20,850.73K,1.28,58.62,0.88%,1089589
8,9,G,Genpact Limited,Technology,Information Technology Services,Bermuda,9.16B,30.94,49.81,0.00%,861477,9,0.40%,9.64%,4.80%,30.12%,25.12%,20.43%,1.26%,1.48%,2.00,1.56M,0.55,49.81,0.00%,861477
9,10,JNPR,"Juniper Networks, Inc.",Technology,Communication Equipment,USA,9.13B,45.76,28.14,2.66%,4342208,10,2.07%,2.89%,10.83%,15.23%,12.88%,25.01%,2.26%,1.88%,3.10,3.53M,1.23,28.14,2.66%,4342208
10,11,VST,Vistra Corp.,Utilities,Utilities - Independent Power Producers,USA,9.10B,-,19.15,-1.19%,2923775,11,0.26%,3.23%,13.52%,-4.11%,1.86%,-2.59%,2.21%,2.72%,2.30,5.11M,0.57,19.15,-1.19%,2923775
11,12,HRC,"Hill-Rom Holdings, Inc.",Healthcare,Medical Instruments & Supplies,USA,9.07B,32.87,138.46,1.17%,1242548,12,14.21%,21.89%,25.62%,44.17%,19.69%,41.33%,5.36%,2.54%,1.70,446.37K,2.78,138.46,1.17%,1242548
12,13,BFAM,Bright Horizons Family Solutions Inc.,Consumer Cyclical,Personal Services,USA,9.02B,3476.74,149.50,-2.11%,270849,13,-3.07%,1.62%,3.22%,-1.63%,36.53%,-13.58%,1.88%,1.98%,2.40,490.70K,0.55,149.50,-2.11%,270849
