,No._x,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price_x,Change_x,Volume_x,No._y,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price_y,Change_y,Volume_y
0,1,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,1.97B,4.34,66.97,-1.20%,421250,1,2.04%,-1.67%,-1.38%,29.24%,30.22%,22.79%,2.51%,2.76%,2.00,381.46K,1.10,66.97,-1.20%,421250
1,2,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,1.27B,23.93,38.55,2.15%,130915,2,2.66%,-4.63%,-7.18%,12.59%,31.61%,32.38%,4.18%,3.91%,1.80,210.79K,0.62,38.55,2.15%,130915
2,3,ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA,1.68B,88.19,92.86,4.81%,238284,3,6.14%,-9.16%,17.62%,3.18%,0.63%,14.29%,6.98%,8.10%,2.00,339.27K,0.70,92.86,4.81%,238284
3,4,ADUS,Addus HomeCare Corporation,Healthcare,Medical Care Facilities,USA,1.33B,41.61,86.79,3.56%,129366,4,2.53%,-0.52%,-17.97%,-22.89%,-10.62%,-25.88%,2.36%,2.48%,1.50,126.63K,1.02,86.79,3.56%,129366
4,5,ALG,Alamo Group Inc.,Industrials,Farm & Heavy Construction Machinery,USA,1.74B,29.72,146.77,0.62%,19089,5,2.69%,-3.87%,-6.66%,5.14%,37.92%,6.39%,2.16%,2.49%,1.30,34.87K,0.55,146.77,0.62%,19089
5,6,AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,989.47M,419.00,20.95,0.87%,278763,6,0.43%,3.92%,20.40%,15.24%,2.95%,4.18%,2.06%,2.19%,2.60,229.00K,1.22,20.95,0.87%,278763
6,7,ANDE,"The Andersons, Inc.",Consumer Defensive,Food Distribution,USA,888.58M,14.75,26.70,-0.15%,85626,7,3.85%,-12.55%,-7.03%,16.09%,84.65%,8.94%,2.57%,3.45%,3.00,151.63K,0.56,26.70,-0.15%,85626
7,8,ASTE,"Astec Industries, Inc.",Industrials,Farm & Heavy Construction Machinery,USA,1.38B,55.04,61.31,0.84%,66405,8,3.22%,-2.59%,-18.26%,3.09%,35.34%,5.93%,2.57%,2.97%,2.00,139.60K,0.48,61.31,0.84%,66405
8,9,ATEN,"A10 Networks, Inc.",Technology,Software - Infrastructure,USA,1.00B,43.14,12.77,-1.47%,664225,9,12.12%,13.41%,47.12%,28.60%,55.54%,29.51%,5.66%,3.67%,1.70,653.47K,1.02,12.77,-1.47%,664225
9,10,ATGE,Adtalem Global Education Inc.,Consumer Defensive,Education & Training Services,USA,1.80B,11.81,36.34,-0.08%,188358,10,2.31%,1.96%,5.92%,-5.83%,4.52%,7.04%,2.90%,3.32%,1.70,574.92K,0.33,36.34,-0.08%,188358
10,11,AUDC,AudioCodes Ltd.,Technology,Communication Equipment,Israel,1.07B,33.29,32.76,-0.52%,85867,11,1.46%,-1.00%,6.33%,9.20%,-10.15%,18.91%,3.59%,2.81%,1.80,148.19K,0.58,32.76,-0.52%,85867
11,12,AVID,"Avid Technology, Inc.",Communication Services,Electronic Gaming & Multimedia,USA,1.67B,79.72,37.39,1.19%,246951,12,1.30%,-4.50%,64.42%,119.42%,354.87%,135.60%,4.65%,4.56%,2.40,543.45K,0.45,37.39,1.19%,246951
12,13,BDSI,"BioDelivery Sciences International, Inc.",Healthcare,Biotechnology,USA,370.40M,15.28,3.76,0.00%,312039,13,3.01%,5.03%,8.67%,-2.34%,-9.83%,-10.48%,3.09%,2.93%,1.90,610.06K,0.51,3.76,0.00%,312039
13,14,BEDU,Bright Scholar Education Holdings Limited,Consumer Defensive,Education & Training Services,China,423.40M,16.60,3.42,-3.66%,10026,14,-6.30%,-19.34%,-40.93%,-43.38%,-53.15%,-40.63%,10.09%,7.32%,4.00,50.22K,0.20,3.42,-3.66%,10026
14,15,BGS,"B&G Foods, Inc.",Consumer Defensive,Packaged Foods,USA,1.91B,14.18,28.72,-2.51%,1073829,15,-2.41%,-12.44%,-1.58%,-24.58%,4.10%,3.57%,2.33%,2.56%,3.10,1.13M,0.95,28.72,-2.51%,1073829
15,16,CBZ,"CBIZ, Inc.",Industrials,Specialty Business Services,USA,1.68B,22.40,32.34,2.47%,238020,16,3.52%,-1.31%,-3.72%,24.82%,39.28%,21.53%,1.96%,1.87%,1.30,157.98K,1.51,32.34,2.47%,238020
16,17,CHRS,"Coherus BioSciences, Inc.",Healthcare,Biotechnology,USA,995.45M,-,13.05,-0.68%,305885,17,-0.15%,-5.64%,-11.82%,-30.59%,-28.10%,-24.91%,3.46%,3.40%,2.00,737.71K,0.41,13.05,-0.68%,305885
17,18,CLAR,Clarus Corporation,Consumer Cyclical,Leisure,USA,896.95M,89.13,28.52,0.11%,183024,18,0.88%,10.97%,53.25%,77.58%,139.56%,85.19%,2.39%,3.03%,1.70,217.50K,0.84,28.52,0.11%,183024
18,19,CLW,Clearwater Paper Corporation,Basic Materials,Paper & Paper Products,USA,498.09M,6.89,29.49,-1.21%,64925,19,1.24%,1.79%,-11.86%,-22.56%,-22.21%,-21.88%,2.48%,2.78%,2.70,156.11K,0.42,29.49,-1.21%,64925
19,20,CNSL,"Consolidated Communications Holdings, Inc.",Communication Services,Telecom Services,USA,630.27M,15.69,7.69,-2.41%,603042,20,-12.01%,-12.51%,6.81%,25.96%,3.78%,57.26%,5.23%,3.34%,3.30,467.24K,1.29,7.69,-2.41%,603042
20,21,CNXN,"PC Connection, Inc.",Technology,Electronics & Computer Distribution,USA,1.21B,24.53,47.56,2.92%,56551,21,6.64%,2.79%,4.87%,-3.12%,9.82%,1.21%,2.37%,2.86%,3.00,51.62K,1.10,47.56,2.92%,56551
21,22,CO,Global Cord Blood Corporation,Healthcare,Diagnostics & Research,Hong Kong,576.18M,7.54,4.88,2.95%,122457,22,-7.22%,-8.61%,-2.59%,26.10%,40.63%,31.54%,4.21%,3.37%,-,229.79K,0.53,4.88,2.95%,122457
22,23,COLL,"Collegium Pharmaceutical, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,881.11M,22.07,24.89,-0.44%,93152,23,-1.03%,5.29%,11.61%,3.11%,53.36%,24.26%,3.13%,3.83%,2.10,246.00K,0.38,24.89,-0.44%,93152
23,24,CORE,"Core-Mark Holding Company, Inc.",Consumer Defensive,Food Distribution,USA,1.95B,29.02,43.04,-0.19%,254018,24,0.96%,-4.38%,1.13%,40.33%,62.35%,46.54%,2.02%,1.85%,2.00,575.32K,0.44,43.04,-0.19%,254018
24,25,CRD-B,Crawford & Company,Financial,Insurance Brokers,USA,562.52M,12.09,10.35,-0.48%,860,25,1.67%,20.35%,8.72%,32.01%,54.94%,43.75%,1.64%,3.15%,2.00,8.01K,0.11,10.35,-0.48%,860
25,26,CSWI,"CSW Industrials, Inc.",Industrials,Specialty Industrial Machinery,USA,1.85B,43.36,118.29,0.66%,27416,26,1.51%,-0.14%,-12.64%,1.52%,77.35%,5.70%,1.78%,1.83%,1.50,52.10K,0.53,118.29,0.66%,27416
26,27,CTS,CTS Corporation,Technology,Electronic Components,USA,1.13B,29.30,34.99,0.60%,113292,27,2.79%,-5.84%,7.60%,14.72%,69.28%,1.92%,2.63%,2.55%,2.70,173.39K,0.65,34.99,0.60%,113292
27,28,CYD,China Yuchai International Limited,Industrials,Specialty Industrial Machinery,Singapore,600.94M,7.04,14.65,-0.41%,39350,28,-0.81%,-8.67%,-8.27%,-8.27%,9.82%,-10.34%,2.89%,2.71%,2.00,47.73K,0.82,14.65,-0.41%,39350
28,29,DHT,"DHT Holdings, Inc.",Energy,Oil & Gas Midstream,Bermuda,993.02M,4.80,5.80,0.17%,1811293,29,0.35%,-10.63%,-1.69%,8.01%,1.93%,10.90%,2.26%,3.25%,2.40,2.28M,0.80,5.80,0.17%,1811293
29,30,DRD,DRDGOLD Limited,Basic Materials,Gold,South Africa,908.20M,10.60,10.59,-0.09%,145671,30,7.51%,-2.58%,6.86%,2.52%,-30.51%,-9.72%,2.52%,3.34%,2.00,261.85K,0.56,10.59,-0.09%,145671
30,31,ECHO,"Echo Global Logistics, Inc.",Industrials,Integrated Freight & Logistics,USA,816.55M,17.72,30.93,0.91%,288537,31,9.56%,0.62%,-5.41%,17.47%,20.63%,15.32%,3.91%,3.42%,2.10,217.45K,1.33,30.93,0.91%,288537
31,32,ECOM,ChannelAdvisor Corporation,Technology,Software - Application,USA,698.00M,31.82,23.29,-0.81%,95095,32,1.53%,-4.98%,10.12%,13.61%,13.72%,45.74%,2.43%,3.58%,2.00,182.05K,0.52,23.29,-0.81%,95095
32,33,EGAN,eGain Corporation,Technology,Software - Application,USA,364.80M,53.53,11.67,-0.51%,134252,33,1.83%,1.66%,18.72%,6.09%,16.93%,-1.19%,3.18%,4.49%,2.30,191.92K,0.70,11.67,-0.51%,134252
33,34,EGO,Eldorado Gold Corporation,Basic Materials,Gold,Canada,1.79B,14.01,9.33,-4.99%,2836982,34,1.41%,-6.23%,-5.47%,-16.77%,-21.92%,-29.69%,3.82%,3.53%,3.00,1.46M,1.95,9.33,-4.99%,2836982
34,35,EGRX,"Eagle Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,611.01M,43.66,46.50,-0.24%,106422,35,-2.80%,8.64%,13.89%,-0.36%,-2.58%,-0.15%,2.58%,3.51%,2.20,116.28K,0.92,46.50,-0.24%,106422
