No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
1,VTRS,1.08%,-1.54%,5.79%,-17.19%,-13.84%,-24.92%,2.79%,2.47%,2.40,7.92M,0.86,14.07,-1.54%,"6,839,429"
2,HBAN,1.88%,-1.33%,-8.09%,6.47%,51.24%,11.48%,2.79%,3.02%,2.20,17.15M,0.80,14.08,-1.95%,"13,659,505"
3,PBCT,2.88%,-8.40%,-13.40%,14.93%,39.68%,21.42%,2.92%,2.97%,3.00,3.67M,5.02,15.70,-1.07%,"18,423,274"
4,HST,0.95%,-6.79%,-12.28%,17.56%,46.96%,8.89%,2.90%,3.29%,2.70,8.04M,0.56,15.93,-2.15%,"4,531,286"
5,APA,2.97%,-13.31%,-6.25%,31.30%,17.11%,32.14%,3.37%,4.24%,2.30,7.05M,0.85,18.75,-1.73%,"6,003,057"
6,AAL,-3.87%,-3.91%,-6.17%,18.70%,82.29%,29.23%,4.12%,4.28%,3.40,31.44M,0.97,20.38,-3.73%,"30,489,150"
7,NWS,-0.09%,-3.45%,-3.29%,24.52%,81.97%,32.30%,1.69%,2.20%,-,452.18K,0.90,23.51,0.34%,"408,232"
8,NWSA,-0.48%,-4.42%,-5.97%,26.96%,90.93%,37.06%,2.01%,2.41%,1.90,2.77M,0.72,24.63,0.20%,"1,990,528"
9,NWL,-9.44%,-9.90%,-8.20%,3.04%,39.67%,16.58%,3.35%,2.54%,2.70,2.38M,4.00,24.75,-9.07%,"9,516,164"
10,NLOK,-3.72%,-8.82%,14.85%,17.80%,17.46%,19.44%,2.23%,2.44%,1.80,5.78M,0.79,24.82,0.81%,"4,571,426"
11,DISCK,1.04%,-6.45%,-16.09%,-22.61%,43.29%,3.51%,7.40%,4.17%,3.00,4.93M,0.35,27.11,-4.07%,"1,718,270"
12,DISCA,1.90%,-5.44%,-22.97%,-29.96%,37.16%,-3.59%,6.65%,4.01%,2.70,9.34M,0.44,29.01,-3.88%,"4,084,697"
13,CSX,-1.49%,0.75%,-3.76%,13.07%,38.04%,6.84%,1.47%,1.71%,2.10,11.37M,0.68,32.32,0.72%,"7,747,353"
14,FOX,-2.26%,-5.57%,-8.63%,11.21%,28.44%,15.10%,2.16%,2.41%,-,1.09M,1.76,33.24,-2.06%,"1,914,578"
15,FOXA,-1.46%,-3.96%,-4.70%,14.37%,38.11%,22.46%,2.22%,2.42%,2.50,2.78M,0.90,35.66,-1.76%,"2,490,320"
16,FITB,1.43%,-5.07%,-10.48%,25.44%,84.31%,31.63%,2.50%,2.98%,1.90,4.82M,1.71,36.29,-0.96%,"8,217,367"
17,KHC,-1.91%,-5.66%,-6.83%,14.80%,11.86%,10.99%,1.49%,1.54%,2.80,4.54M,1.05,38.47,-1.31%,"4,789,430"
18,VIAC,-0.15%,-9.45%,-0.22%,-15.61%,58.58%,9.85%,2.91%,3.23%,2.70,17.32M,0.46,40.93,-1.82%,"7,920,874"
19,DISH,0.50%,0.22%,-6.47%,44.35%,27.56%,29.53%,2.40%,2.59%,2.50,2.65M,0.69,41.89,-0.76%,"1,827,258"
20,UAL,-1.70%,-10.65%,-14.12%,16.83%,47.20%,8.02%,3.35%,3.82%,2.50,12.50M,0.96,46.72,-3.65%,"11,979,663"
21,EXC,0.60%,5.62%,4.14%,12.61%,21.65%,10.85%,1.76%,1.59%,2.20,5.08M,0.71,46.80,-1.10%,"3,605,475"
22,WBA,1.33%,-10.38%,-11.21%,-6.17%,16.02%,18.23%,1.46%,2.15%,2.90,5.73M,1.66,47.15,0.23%,"9,522,650"
23,LKQ,-0.02%,3.11%,8.65%,44.63%,73.74%,44.01%,3.01%,2.49%,1.60,1.79M,0.83,50.75,-1.40%,"1,481,249"
24,ZION,2.54%,-1.34%,-6.54%,18.15%,59.09%,20.05%,2.61%,3.23%,2.70,1.33M,0.96,52.15,-1.31%,"1,272,690"
25,INTC,1.36%,-4.31%,-6.62%,-3.22%,11.94%,7.83%,1.92%,1.97%,2.80,24.42M,0.67,53.72,0.04%,"16,324,178"
26,FAST,0.24%,5.33%,4.76%,20.14%,17.71%,12.16%,1.24%,1.55%,2.90,3.06M,1.25,54.77,-0.15%,"3,806,729"
27,CSCO,0.25%,4.47%,8.76%,24.20%,19.23%,23.73%,1.16%,1.33%,2.30,18.19M,0.72,55.37,0.54%,"13,168,332"
28,LNT,-0.14%,4.97%,4.20%,20.31%,8.85%,13.58%,1.66%,1.69%,1.90,1.34M,0.69,58.53,-0.63%,"928,870"
29,CMCSA,0.81%,3.17%,4.77%,18.68%,34.71%,12.27%,1.96%,1.66%,2.00,15.77M,1.41,58.83,1.24%,"22,244,972"
30,PFG,-0.10%,-1.68%,-2.72%,26.10%,46.36%,25.24%,2.55%,2.49%,2.70,1.26M,1.21,62.13,-1.21%,"1,532,328"
31,MDLZ,-2.51%,1.31%,4.03%,14.11%,13.43%,8.19%,1.27%,1.19%,1.80,6.41M,0.99,63.26,-0.11%,"6,335,792"
32,WDC,1.85%,-8.77%,-8.07%,15.06%,51.85%,17.22%,3.14%,3.26%,2.20,4.00M,0.59,64.93,0.73%,"2,342,132"
33,REG,0.55%,2.09%,2.75%,38.64%,56.45%,43.47%,2.29%,2.63%,2.30,957.78K,1.18,65.41,0.17%,"1,125,664"
34,XRAY,3.85%,4.39%,-2.18%,23.46%,45.98%,26.13%,1.70%,1.78%,1.90,1.31M,0.95,66.04,0.98%,"1,248,451"
35,EBAY,-7.25%,-2.85%,22.26%,20.70%,24.65%,35.74%,2.75%,2.19%,2.40,7.32M,1.63,68.21,-7.08%,"11,888,332"
36,XEL,-0.03%,3.60%,-4.28%,6.66%,-1.09%,2.37%,1.96%,1.75%,2.90,2.49M,1.00,68.25,-0.78%,"2,495,803"
37,GILD,-1.06%,-0.83%,7.59%,4.10%,-5.59%,17.22%,1.36%,1.39%,2.40,6.74M,1.41,68.29,-2.21%,"9,529,519"
38,PENN,-2.77%,-10.60%,-23.27%,-34.07%,85.76%,-20.83%,5.34%,4.68%,2.40,4.34M,0.82,68.38,-1.80%,"3,549,761"
39,CTSH,6.12%,6.17%,-8.54%,-5.67%,6.29%,-10.27%,1.94%,1.57%,2.40,4.04M,0.84,73.53,-0.53%,"3,393,458"
40,HOLX,3.79%,12.47%,14.48%,-5.88%,7.65%,3.03%,2.42%,2.14%,1.80,2.52M,1.05,75.04,1.65%,"2,639,472"
41,FANG,-1.42%,-17.85%,-5.63%,36.06%,95.22%,59.36%,3.43%,4.91%,1.80,2.52M,0.83,77.13,-3.03%,"2,077,390"
42,INCY,-2.46%,-8.06%,-9.41%,-13.82%,-23.04%,-11.07%,2.07%,1.95%,2.20,1.26M,1.18,77.35,-0.06%,"1,484,320"
43,MU,2.16%,-8.71%,-9.86%,-0.88%,52.90%,3.19%,2.44%,2.65%,1.90,18.87M,0.66,77.58,0.65%,"12,484,348"
44,NTAP,2.41%,-2.73%,6.56%,19.79%,85.74%,20.15%,1.82%,2.03%,2.40,1.61M,0.71,79.59,0.73%,"1,142,653"
45,HSIC,3.61%,8.03%,10.55%,21.72%,16.75%,19.88%,1.52%,1.67%,2.50,890.10K,0.71,80.15,-0.09%,"631,903"
46,CERN,2.53%,2.85%,7.12%,0.35%,12.81%,2.43%,1.67%,1.47%,2.30,2.90M,1.12,80.39,2.37%,"3,236,646"
